PF02792	PF02792	PF15620	PF15620	0.0578552559936856	
PF02792	PF02792	PF15622	PF15622	0.0338735759015651	
PF02792	PF02792	PF11699	PF11699	0.0180347118345898	
PF00084	PF00084	PF01298	PF01298	0.0140105367925952	
PF00069	PF00069	PF00418	PF00418	0.0	
PF00418	PF00418	PF07714	PF07714	0.0	
PF00418	PF00418	PF14531	PF14531	0.0022042866791929	
PF00418	PF00418	PF12330	PF12330	0.0028629867488279	
PF00004	PF00004	PF00069	PF00069	0.0	
PF00069	PF00069	PF17862	PF17862	0.0	
PF00004	PF00004	PF07714	PF07714	0.0	
PF07714	PF07714	PF17862	PF17862	0.0	
PF00004	PF00004	PF12330	PF12330	0.0	
PF12330	PF12330	PF17862	PF17862	0.0	
PF00069	PF00069	PF09336	PF09336	0.0	
PF07714	PF07714	PF09336	PF09336	0.0	
PF09336	PF09336	PF12330	PF12330	0.0	
PF00076	PF00076	PF13895	PF13895	0.0	
PF00076	PF00076	PF13927	PF13927	0.0	
PF00047	PF00047	PF00076	PF00076	0.0	
PF00076	PF00076	PF07679	PF07679	0.0	
PF00076	PF00076	PF16681	PF16681	0.0	
PF00017	PF00017	PF13895	PF13895	0.0017097374128757	
PF00017	PF00017	PF13927	PF13927	0.0014340058597749	
PF00017	PF00017	PF00047	PF00047	0.0015479979023318	
PF00017	PF00017	PF07679	PF07679	0.0015955367215593	
PF00017	PF00017	PF16681	PF16681	0.0016695450215138	
PF00604	PF00604	PF13465	PF13465	0.0	
PF00096	PF00096	PF00604	PF00604	0.0	
PF00604	PF00604	PF13894	PF13894	0.0	
PF00604	PF00604	PF01352	PF01352	0.0	
PF00604	PF00604	PF12171	PF12171	0.0	
PF00604	PF00604	PF13912	PF13912	0.0	
PF00604	PF00604	PF09723	PF09723	0.0	
PF00604	PF00604	PF01722	PF01722	0.0	
PF00249	PF00249	PF00400	PF00400	0.0	
PF00249	PF00249	PF12894	PF12894	0.0	
PF00400	PF00400	PF04433	PF04433	0.0	
PF04433	PF04433	PF12894	PF12894	0.0	
PF00400	PF00400	PF13921	PF13921	0.0	
PF12894	PF12894	PF13921	PF13921	0.0	
PF00011	PF00011	PF00249	PF00249	0.0	
PF00011	PF00011	PF04433	PF04433	0.0	
PF00011	PF00011	PF13921	PF13921	0.0	
PF00249	PF00249	PF01798	PF01798	0.0	
PF00249	PF00249	PF09785	PF09785	0.0	
PF01798	PF01798	PF04433	PF04433	0.0020859600326489	
PF04433	PF04433	PF09785	PF09785	0.0091702033271318	
PF01798	PF01798	PF13921	PF13921	0.0	
PF09785	PF09785	PF13921	PF13921	0.0	
PF00001	PF00001	PF07575	PF07575	0.0	
PF07575	PF07575	PF10320	PF10320	0.0	
PF00604	PF00604	PF01546	PF01546	0.0	
PF00604	PF00604	PF07687	PF07687	0.0	
PF00036	PF00036	PF00036	PF00036	0.0	
PF00036	PF00036	PF13499	PF13499	0.0	
PF00036	PF00036	PF13833	PF13833	0.0	
PF00036	PF00036	PF13405	PF13405	0.0	
PF00036	PF00036	PF13202	PF13202	0.0	
PF00036	PF00036	PF14658	PF14658	0.0	
PF00036	PF00036	PF12763	PF12763	0.0	
PF00036	PF00036	PF10591	PF10591	0.0	
PF00036	PF00036	PF08976	PF08976	0.0	
PF13499	PF13499	PF13499	PF13499	0.0	
PF13499	PF13499	PF13833	PF13833	0.0	
PF13405	PF13405	PF13499	PF13499	0.0	
PF13202	PF13202	PF13499	PF13499	0.0	
PF13499	PF13499	PF14658	PF14658	0.0	
PF12763	PF12763	PF13499	PF13499	0.0	
PF10591	PF10591	PF13499	PF13499	0.0	
PF08976	PF08976	PF13499	PF13499	0.0	
PF13405	PF13405	PF13833	PF13833	0.0	
PF13405	PF13405	PF13405	PF13405	0.0	
PF13202	PF13202	PF13405	PF13405	0.0	
PF13405	PF13405	PF14658	PF14658	0.0	
PF12763	PF12763	PF13405	PF13405	0.0	
PF10591	PF10591	PF13405	PF13405	0.0	
PF08976	PF08976	PF13405	PF13405	0.0	
PF13202	PF13202	PF13833	PF13833	0.0	
PF13202	PF13202	PF13202	PF13202	0.0	
PF13202	PF13202	PF14658	PF14658	0.0	
PF12763	PF12763	PF13202	PF13202	0.0	
PF10591	PF10591	PF13202	PF13202	0.0	
PF08976	PF08976	PF13202	PF13202	0.0014868845395017	
PF00036	PF00036	PF01023	PF01023	0.0	
PF01023	PF01023	PF13499	PF13499	0.0	
PF01023	PF01023	PF13405	PF13405	0.0	
PF01023	PF01023	PF13202	PF13202	0.0	
PF00036	PF00036	PF00038	PF00038	0.0	
PF00038	PF00038	PF13499	PF13499	0.0	
PF00038	PF00038	PF13405	PF13405	0.0	
PF00038	PF00038	PF13202	PF13202	0.0	
PF10631	PF10631	PF15662	PF15662	0.2810398363683589	
PF07645	PF07645	PF15662	PF15662	0.0	
PF12662	PF12662	PF15662	PF15662	0.0021387185772452	
PF14670	PF14670	PF15662	PF15662	0.0023317341206118	
PF12947	PF12947	PF15662	PF15662	0.003741601587858	
PF00008	PF00008	PF15662	PF15662	0.0	
PF01500	PF01500	PF15662	PF15662	0.0878417972177688	
PF13885	PF13885	PF15662	PF15662	0.167820967981053	
PF05287	PF05287	PF15662	PF15662	0.090828581194329	
PF13465	PF13465	PF13885	PF13885	0.0094969613991574	
PF00096	PF00096	PF13885	PF13885	0.0083875722034312	
PF13885	PF13885	PF13894	PF13894	0.0082921308946857	
PF13885	PF13885	PF13912	PF13912	0.0121509515656459	
PF12171	PF12171	PF13885	PF13885	0.0094596818846344	
